MovieID,mean_rating,count,popularity_score
1,4.145714285714286,1750,4.1425597044401075
2,3.197879858657244,566,3.2046963191225495
3,3.0235602094240837,382,3.0380231627923178
4,2.701492537313433,134,2.763229720934644
5,2.9957805907172994,237,3.019858622731128
6,3.871664548919949,787,3.8681368630045028
7,3.4297752808988764,356,3.434166884739313
8,2.9615384615384617,52,3.062985158299818
9,2.675,80,2.7767231090509856
10,3.5208333333333335,720,3.5217877805679296
11,3.802171290711701,829,3.7996484860722153
12,2.370967741935484,124,2.4619782075715575
13,3.3157894736842106,76,3.3477334862161476
14,3.4074074074074074,108,3.422924405208379
15,2.5,112,2.5893859001195794
16,3.7554744525547443,548,3.7525180641838505
17,4.018045112781955,665,4.011711229354946
18,3.482142857142857,112,3.491025244381875
19,2.4583333333333335,312,2.4934940366912692
20,2.5609756097560976,123,2.638384058756306
21,3.6208406304728546,1142,3.620577326227942
22,3.3386581469648564,313,3.3464553554631227
23,2.8846153846153846,104,2.946535787847269
24,3.1782945736434107,516,3.1861313304459857
25,3.656058751529988,817,3.655266118276407
26,3.473684210526316,76,3.487268369937078
27,2.8421052631578947,38,2.998022496137265
28,4.0928571428571425,140,4.059367198763924
29,4.063291139240507,316,4.048788588388309
30,3.75,52,3.724275480880463
31,3.0673076923076925,104,3.113202454513936
32,3.930732484076433,1256,3.9280450867413816
33,2.6666666666666665,3,3.377313831891439
34,3.8862876254180603,1495,3.884322312169162
35,3.3958333333333335,48,3.4293979278377362
36,3.9393139841688654,758,3.9347722393419122
37,3.3333333333333335,6,3.494067488411794
38,3.1904761904761907,21,3.3195187036964096
39,3.6262093227792436,1137,3.6258980643544803
40,3.7,20,3.66350266048629
41,3.9800995024875623,201,3.96163544935824
42,2.874285714285714,175,2.9130004314302087
43,3.4146341463414633,123,3.4278577429668324
44,2.8065843621399176,243,2.837569485433157
45,3.4170506912442398,434,3.420957386969794
46,3.1328125,128,3.16597883923615
47,4.127586206896551,870,4.12148304524385
48,2.9536423841059603,302,2.9740547429954765
49,3.6666666666666665,24,3.644267053370256
50,4.519099590723056,1466,4.512808319657581
52,3.626865671641791,335,3.625811825549532
53,4.75,8,4.1058377674771505
54,2.6785714285714284,28,2.9185547319628604
55,3.081081081081081,37,3.1894697832891215
56,1.5714285714285714,7,2.7591223420346296
57,3.4025974025974026,77,3.424196319707916
58,4.092269326683292,401,4.080061021446688
59,2.4285714285714284,7,3.112063518505218
60,3.1904761904761907,294,3.203635130969042
61,3.056603773584906,53,3.1413504732474395
62,3.6973995271867612,423,3.6949309002646387
63,2.8764044943820224,89,2.94853615974332
64,2.2063492063492065,63,2.3959599974601193
65,2.01,100,2.153682543768988
66,1.654320987654321,81,1.8670887891713044
67,2.5,2,3.4087566512157252
68,3.4893617021276597,47,3.507106663413837
69,3.6862745098039214,255,3.6826606785456177
70,3.1288659793814433,776,3.1347392872959143
71,2.212121212121212,66,2.3934878922972196
72,3.550724637681159,69,3.5557605039821354
73,3.7732558139534884,172,3.763214724255982
74,3.0,97,3.055187661818586
75,2.25,8,2.994726656366039
76,2.8456375838926173,149,2.892484778708105
77,3.7241379310344827,29,3.6898738413997103
78,3.257142857142857,35,3.331223995879749
79,2.6702127659574466,94,2.7587026905248915
80,3.8780487804878048,41,3.821668231658602
81,3.139705882352941,136,3.170582738456087
82,3.8208955223880596,67,3.790975062527126
83,3.625,24,3.6148552886643737
84,3.0,16,3.227118454407258
85,3.4172185430463577,151,3.4279818622024143
86,3.435,200,3.442405141974232
87,2.161290322580645,62,2.359792775202621
88,2.9383561643835616,146,2.9801607680422353
89,3.0913978494623655,186,3.1168626521152483
90,3.6,5,3.593671987639247
92,2.242857142857143,70,2.4113134976823587
93,2.1818181818181817,66,2.3671721028235355
94,3.727272727272727,121,3.716832670340372
95,2.8620037807183363,529,2.8755196285984947
96,4.222222222222222,9,3.8897410428730894
97,3.861111111111111,36,3.8022843437954066
98,2.0,3,3.2234676780452847
99,3.4651162790697674,43,3.4887750908412962
100,3.11,100,3.1536825437689884
101,3.8700564971751414,177,3.85510737868764
102,1.8043478260869565,46,2.123304996689084
103,3.2857142857142856,28,3.3659231530154923
104,3.5572232645403377,533,3.5578362427524652
105,3.2397476340694005,317,3.250474250197519
106,3.5454545454545454,11,3.566908562599462
107,3.1,200,3.123357522926613
108,2.857142857142857,7,3.288534106740512
110,4.240269101393561,2081,4.2371616833163985
111,4.21655437921078,1039,4.2105863487269675
112,3.4721030042918457,466,3.474590503812161
113,2.9743589743589745,39,3.100103669685484
114,3.142857142857143,7,3.4061811655640413
116,4.117647058823529,34,3.997842723058834
117,3.607142857142857,56,3.604622421433162
118,3.0545454545454547,55,3.137001227916749
119,2.0,10,2.795253990729435
120,2.5,2,3.4087566512157252
121,4.0625,32,3.950120947966398
122,2.76875,160,2.8170887047916984
123,3.9069767441860463,86,3.874011248068632
124,2.857142857142857,7,3.288534106740512
125,3.876984126984127,252,3.8660499229564453
126,2.050632911392405,79,2.2236525821863897
127,1.0,1,3.3550072558717003
128,4.3,10,3.945253990729435
129,3.0,5,3.3936719876392467
130,4.0,2,3.6587566512157252
131,3.1538461538461537,13,3.343699122373422
132,2.5217391304347827,69,2.6570263267669456
133,1.0,1,3.3550072558717003
134,4.0,2,3.6587566512157252
135,2.870967741935484,93,2.940826017617366
136,3.3333333333333335,6,3.494067488411794
137,2.7142857142857144,7,3.2297105773287473
138,1.0,1,3.3550072558717003
139,4.0,1,3.627734528598973
140,3.1545454545454548,110,3.1908756651215726
141,3.5654648956356736,527,3.5659312473269806
142,1.0,1,3.3550072558717003
144,3.3865030674846626,326,3.3925746423053234
145,3.2711864406779663,295,3.281655999392094
146,3.2142857142857144,14,3.371044992274529
147,3.5704225352112675,142,3.57174394614861
148,2.7857142857142856,14,3.121044992274529
149,3.7857142857142856,42,3.7481746118190133
150,4.055727554179566,969,4.050975566715616
151,3.6,460,3.599798042158699
152,2.9649122807017543,57,3.0582847733520704
153,2.6366559485530545,622,2.651748544010425
154,3.664,125,3.658556146774731
155,3.5072463768115942,69,3.517785820437832
156,3.702127659574468,47,3.6825452599050648
157,2.753731343283582,134,2.811840832045755
158,2.9613526570048307,207,2.99034598992898
159,3.236559139784946,93,3.270923104996007
160,2.2294372294372296,462,2.2582734741834503
161,3.7266666666666666,600,3.724434557073096
162,4.083969465648855,393,4.071724763807912
163,3.442176870748299,441,3.4454658089015266
164,3.5434083601286175,311,3.544875638051678
165,3.580060422960725,662,3.580215892581233
166,2.5,46,2.6947335681176554
167,3.6,5,3.593671987639247
168,2.9225352112676055,284,2.945255373519009
169,2.0,92,2.1559321550449875
170,3.1666666666666665,252,3.1828438160862165
171,3.656716417910448,67,3.6481179196699833
172,2.520107238605898,373,2.5480550386803884
173,2.3405172413793105,464,2.3668883540392165
174,2.23728813559322,59,2.433406953834619
175,3.481707317073171,164,3.487960228819475
176,3.8830409356725144,171,3.8668788940032526
177,2.6695652173913045,115,2.7432406385167094
178,3.8181818181818183,11,3.709765705456605
179,2.2162162162162162,37,2.508618719459334
180,3.5632530120481927,332,3.5640499409783293
181,1.6056338028169015,71,1.8506799977109716
182,3.1470588235294117,34,3.247842723058834
183,3.391304347826087,23,3.451669085290567
184,3.2666666666666666,15,3.396203192583548
185,2.887912087912088,455,2.9030216770206207
186,2.772727272727273,154,2.822591950088956
187,3.236842105263158,76,3.2779660443556824
188,3.253086419753086,162,3.2727039524103994
189,3.2857142857142856,14,3.412711658941196
190,3.734375,64,3.7149335110079553
191,2.5344827586206895,58,2.6897805855086574
192,3.0,2,3.4920899845490587
193,2.080745341614907,161,2.169035554471279
194,3.739130434782609,161,3.730439063243209
195,2.8161764705882355,136,2.8692128754423885
196,2.7865168539325844,445,2.8041869886034916
197,3.125,16,3.3040415313303346
198,3.278557114228457,499,3.284685814959899
199,3.75,84,3.733032763984986
200,2.5,6,3.181567488411794
201,2.5,24,2.8207376416055503
202,2.6818181818181817,22,2.965783744205897
203,3.0061349693251533,163,3.039913756153692
204,3.0304878048780486,164,3.0626728724976355
205,3.696969696969697,66,3.682961576507746
206,3.723076923076923,65,3.705401064194516
207,3.1575757575757577,165,3.18231474179765
208,2.5980582524271845,515,2.6169620567896925
209,2.4210526315789473,38,2.6646891628039313
210,3.2,35,3.2867795514353046
211,3.5714285714285716,28,3.5764494688049657
212,2.142857142857143,7,2.9944164596816885
213,4.086538461538462,104,4.043027015917445
214,4.222222222222222,18,3.996609993378168
215,3.8448275862068964,116,3.8246434905919737
216,3.209737827715356,267,3.2234840426519447
217,2.7,50,2.8484179969098116
218,3.0794701986754967,151,3.1112116758670108
219,3.1875,16,3.3425030697918734
220,1.75,24,2.2913258768996676
222,3.5836575875486383,257,3.5839141566089463
223,3.966262975778547,1156,3.963040377199476
224,3.3516129032258064,310,3.3590783744205894
225,3.2268041237113403,194,3.2446327441891603
226,2.0,1,3.445916346780791
227,2.5925925925925926,108,2.677161693343972
228,1.75,8,2.772504434143817
229,3.5125,80,3.52116755349543
230,3.444866920152091,263,3.450201757562596
231,3.2007952286282304,503,3.2083919684494906
232,4.058139534883721,258,4.040690596323092
233,3.6443298969072164,194,3.641691567718572
234,2.2413793103448274,116,2.3484530144014975
235,3.6910994764397906,764,3.6897998447216906
236,3.308300395256917,253,3.319030721728474
237,2.975,200,3.004309903878994
238,2.740740740740741,27,2.9704075625564514
239,2.8208955223880596,134,2.874340832045755
240,2.774193548387097,31,2.9732946296241147
241,3.3636363636363638,22,3.434533744205897
242,3.435483870967742,62,3.457014997424843
243,2.125,8,2.9391711008104835
244,1.9,10,2.7452539907294353
245,3.125,8,3.383615545254928
246,4.212224108658743,589,4.201844874481784
247,3.8656330749354004,387,3.85870297182516
248,2.9056603773584904,106,2.964698963918868
249,3.7525252525252526,198,3.744735960647061
250,2.5238095238095237,21,2.8679058004706035
251,3.5,12,3.541139991572214
252,3.2717391304347827,276,3.282884894456604
253,3.5097087378640777,618,3.5109953500232303
254,3.1724137931034484,29,3.2796174311433
255,2.0,47,2.2790364879752403
256,2.6890243902439024,164,2.7408337920378663
257,3.2209302325581395,86,3.259427914735299
258,2.413793103448276,116,2.5071831731316565
259,2.831168831168831,77,2.9184491932711345
260,4.452305246422894,2516,4.448893539118998
261,3.6551724137931036,232,3.65250032981235
262,3.8244274809160306,131,3.807837445493537
263,3.8,20,3.730169327152957
264,3.2,5,3.4603386543059136
265,3.9533011272141705,621,3.947551632035798
266,3.4710017574692444,569,3.473065768246267
267,2.7232142857142856,112,2.7943039329064647
268,3.3333333333333335,45,3.380092360265249
269,3.488372093023256,43,3.5076430153695983
270,3.0869565217391304,69,3.150697212842895
271,3.1363636363636362,44,3.220464441010902
272,3.6915254237288138,295,3.688213376441274
273,2.8974358974358974,195,2.9312442917784813
274,2.5,12,2.9956854461176685
275,2.547169811320755,53,2.712779044676011
276,2.685082872928177,181,2.732487328872192
277,3.059322033898305,118,3.1008209360514742
278,2.6875,32,2.90250190034735
279,3.5161290322580645,31,3.5342702393802123
280,3.5595238095238093,168,3.561264493340386
281,3.6324324324324326,185,3.6302824605876345
282,3.1904761904761907,168,3.212949886598813
283,3.0,16,3.227118454407258
286,3.0,1,3.536825437689882
287,2.923076923076923,13,3.2132643397647263
288,3.1023339317773786,557,3.1109437033766993
289,3.34375,128,3.3616310131491933
290,3.9558823529411766,136,3.930856711058827
